event_id,timestamp,site_id,peer_ip,peer_asn,event_type,prefix,prefixes_affected,hold_time_sec,severity,note
BGP-00102,2026-06-24T04:07:00,branch-nagpur,10.0.0.1,65000,UPDATE_RECEIVED,192.168.253.0/24,1,90,INFO,Normal routing update
BGP-00101,2026-06-24T04:29:00,branch-bhopal,10.0.0.1,65000,UPDATE_RECEIVED,192.168.3.0/24,1,90,INFO,Normal routing update
BGP-00103,2026-06-24T05:02:00,branch-jaipur,10.0.0.1,65000,UPDATE_RECEIVED,192.168.121.0/24,1,90,INFO,Normal routing update
BGP-00005,2026-06-24T05:30:00,hub-delhi,10.0.0.1,65000,PEER_DOWN,10.9.7.0/30,2,30,CRITICAL,[FAULT] bgp_route_flap — flap #1
BGP-00006,2026-06-24T05:33:45,hub-delhi,10.0.0.1,65000,PEER_UP,10.8.5.0/30,4,30,CRITICAL,[FAULT] bgp_route_flap — flap #2
BGP-00007,2026-06-24T05:37:30,hub-delhi,10.0.0.1,65000,PEER_DOWN,10.4.9.0/30,2,30,CRITICAL,[FAULT] bgp_route_flap — flap #3
BGP-00008,2026-06-24T05:41:15,hub-delhi,10.0.0.1,65000,PEER_UP,10.5.5.0/30,3,30,CRITICAL,[FAULT] bgp_route_flap — flap #4
BGP-00009,2026-06-24T05:45:00,hub-delhi,10.0.0.1,65000,PEER_DOWN,10.0.3.0/30,4,30,CRITICAL,[FAULT] bgp_route_flap — flap #5
BGP-00010,2026-06-24T05:48:45,hub-delhi,10.0.0.1,65000,PEER_UP,10.9.13.0/30,3,30,CRITICAL,[FAULT] bgp_route_flap — flap #6
BGP-00011,2026-06-24T05:52:30,hub-delhi,10.0.0.1,65000,PEER_DOWN,10.2.8.0/30,2,30,CRITICAL,[FAULT] bgp_route_flap — flap #7
BGP-00012,2026-06-24T05:56:15,hub-delhi,10.0.0.1,65000,PEER_UP,10.7.3.0/30,4,30,CRITICAL,[FAULT] bgp_route_flap — flap #8
BGP-00104,2026-06-24T06:43:00,branch-bhopal,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.145.0/24,1,90,INFO,Normal routing update
BGP-00105,2026-06-24T07:06:00,branch-ahmedabad,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.125.0/24,1,90,INFO,Normal routing update
BGP-00107,2026-06-24T07:52:00,branch-guwahati,10.0.0.1,65000,ROUTE_REFRESH,192.168.7.0/24,1,90,INFO,Normal routing update
BGP-00106,2026-06-24T07:54:00,branch-jaipur,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.161.0/24,1,90,INFO,Normal routing update
BGP-00109,2026-06-24T08:07:00,branch-bengaluru,10.0.0.1,65000,ROUTE_REFRESH,192.168.201.0/24,1,90,INFO,Normal routing update
BGP-00108,2026-06-24T08:15:00,branch-bhubaneswar,10.0.0.1,65000,ROUTE_REFRESH,192.168.121.0/24,1,90,INFO,Normal routing update
BGP-00110,2026-06-24T08:23:00,branch-pune,10.0.0.1,65000,ROUTE_REFRESH,192.168.95.0/24,1,90,INFO,Normal routing update
BGP-00015,2026-06-24T08:42:39.338111,branch-jaipur,10.0.5.2,65011,PREFIX_ANNOUNCED,192.168.35.0/24,3,90,LOW,Routine routing update
BGP-00014,2026-06-24T08:53:17.693191,branch-jaipur,10.0.4.2,65011,PREFIX_WITHDRAWN,192.168.5.0/24,1,90,LOW,Routine routing update
BGP-00112,2026-06-24T09:13:00,branch-bhopal,10.0.0.1,65000,UPDATE_RECEIVED,192.168.20.0/24,1,90,INFO,Normal routing update
BGP-00013,2026-06-24T09:28:46.029067,branch-bengaluru,10.7.1.1,65002,PREFIX_WITHDRAWN,192.168.34.0/24,1,90,LOW,Routine routing update
BGP-00111,2026-06-24T09:49:00,branch-guwahati,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.33.0/24,1,90,INFO,Normal routing update
BGP-00114,2026-06-24T10:56:00,branch-bhubaneswar,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.52.0/24,1,90,INFO,Normal routing update
BGP-00113,2026-06-24T10:58:00,branch-pune,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.158.0/24,1,90,INFO,Normal routing update
BGP-00016,2026-06-24T11:13:25.148957,branch-ahmedabad,10.7.2.1,65006,PREFIX_ANNOUNCED,192.168.9.0/24,1,90,LOW,Routine routing update
BGP-00017,2026-06-24T11:33:30.991299,branch-bhopal,10.2.7.1,65015,PREFIX_WITHDRAWN,192.168.20.0/24,3,90,LOW,Routine routing update
BGP-00115,2026-06-24T12:01:00,branch-hyderabad,10.0.0.1,65000,ROUTE_REFRESH,192.168.214.0/24,1,90,INFO,Normal routing update
BGP-00117,2026-06-24T15:03:00,branch-lucknow,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.63.0/24,1,90,INFO,Normal routing update
BGP-00018,2026-06-24T15:15:40.393595,branch-lucknow,10.9.11.2,65012,KEEPALIVE_TIMEOUT,192.168.12.0/24,2,90,LOW,Routine routing update
BGP-00116,2026-06-24T15:25:00,branch-jaipur,10.0.0.1,65000,UPDATE_RECEIVED,192.168.224.0/24,1,90,INFO,Normal routing update
BGP-00019,2026-06-24T16:21:03.219244,branch-hyderabad,10.4.0.2,65004,KEEPALIVE_TIMEOUT,192.168.23.0/24,2,90,LOW,Routine routing update
BGP-00118,2026-06-24T16:55:00,branch-pune,10.0.0.1,65000,ROUTE_REFRESH,192.168.250.0/24,1,90,INFO,Normal routing update
BGP-00119,2026-06-24T17:00:00,branch-kochi,10.0.0.1,65000,UPDATE_RECEIVED,192.168.39.0/24,1,90,INFO,Normal routing update
BGP-00120,2026-06-24T17:43:00,branch-kolkata,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.223.0/24,1,90,INFO,Normal routing update
BGP-00020,2026-06-24T18:00:00,hub-delhi,10.0.0.1,65000,PEER_DOWN,10.8.14.0/30,4,30,CRITICAL,[FAULT] ospf_adjacency_lost — flap #1
BGP-00021,2026-06-24T18:15:00,hub-delhi,10.0.0.1,65000,PEER_UP,10.4.13.0/30,5,30,CRITICAL,[FAULT] ospf_adjacency_lost — flap #2
BGP-00122,2026-06-24T18:30:00,branch-hyderabad,10.0.0.1,65000,ROUTE_REFRESH,192.168.207.0/24,1,90,INFO,Normal routing update
BGP-00121,2026-06-24T18:37:00,branch-bhubaneswar,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.83.0/24,1,90,INFO,Normal routing update
BGP-00123,2026-06-24T20:43:00,branch-kolkata,10.0.0.1,65000,ROUTE_REFRESH,192.168.72.0/24,1,90,INFO,Normal routing update
BGP-00124,2026-06-24T20:59:00,branch-nagpur,10.0.0.1,65000,UPDATE_RECEIVED,192.168.14.0/24,1,90,INFO,Normal routing update
BGP-00022,2026-06-24T21:00:00,branch-jaipur,10.1.10.1,65011,PEER_DOWN,10.6.2.0/30,5,90,MEDIUM,[FAULT] bgp_route_flap — flap #1
BGP-00023,2026-06-24T21:15:00,branch-jaipur,10.1.10.1,65011,PEER_UP,10.2.5.0/30,3,90,MEDIUM,[FAULT] bgp_route_flap — flap #2
BGP-00024,2026-06-24T21:30:00,branch-jaipur,10.1.10.1,65011,PEER_DOWN,10.10.3.0/30,4,90,MEDIUM,[FAULT] bgp_route_flap — flap #3
BGP-00025,2026-06-24T21:45:00,branch-jaipur,10.1.10.1,65011,PEER_UP,10.1.0.0/30,3,90,MEDIUM,[FAULT] bgp_route_flap — flap #4
BGP-00125,2026-06-24T21:48:00,branch-guwahati,10.0.0.1,65000,ROUTE_REFRESH,192.168.71.0/24,1,90,INFO,Normal routing update
BGP-00126,2026-06-24T21:58:00,branch-kochi,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.239.0/24,1,90,INFO,Normal routing update
BGP-00127,2026-06-24T22:23:00,branch-chennai,10.0.0.1,65000,UPDATE_RECEIVED,192.168.208.0/24,1,90,INFO,Normal routing update
BGP-00128,2026-06-24T22:25:00,branch-jaipur,10.0.0.1,65000,ROUTE_REFRESH,192.168.247.0/24,1,90,INFO,Normal routing update
BGP-00129,2026-06-24T23:21:00,branch-guwahati,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.50.0/24,1,90,INFO,Normal routing update
BGP-00130,2026-06-24T23:54:00,branch-bhubaneswar,10.0.0.1,65000,UPDATE_RECEIVED,192.168.252.0/24,1,90,INFO,Normal routing update
BGP-00026,2026-06-25T00:55:55.815847,branch-hyderabad,10.9.12.1,65004,PREFIX_WITHDRAWN,192.168.31.0/24,1,90,LOW,Routine routing update
BGP-00030,2026-06-25T01:11:18.826490,branch-chandigarh,10.0.11.2,65010,KEEPALIVE_TIMEOUT,192.168.12.0/24,4,90,LOW,Routine routing update
BGP-00029,2026-06-25T01:32:04.629969,branch-hyderabad,10.8.5.1,65004,PREFIX_WITHDRAWN,192.168.4.0/24,4,90,LOW,Routine routing update
BGP-00131,2026-06-25T01:54:00,branch-bengaluru,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.133.0/24,1,90,INFO,Normal routing update
BGP-00133,2026-06-25T02:02:00,branch-lucknow,10.0.0.1,65000,ROUTE_REFRESH,192.168.10.0/24,1,90,INFO,Normal routing update
BGP-00027,2026-06-25T02:03:41.629717,branch-bhubaneswar,10.5.11.1,65008,PREFIX_WITHDRAWN,192.168.18.0/24,3,90,LOW,Routine routing update
BGP-00028,2026-06-25T02:10:34.473121,branch-ahmedabad,10.8.8.1,65006,UPDATE_RECEIVED,192.168.22.0/24,2,90,LOW,Routine routing update
BGP-00132,2026-06-25T02:44:00,branch-bhopal,10.0.0.1,65000,UPDATE_RECEIVED,192.168.251.0/24,1,90,INFO,Normal routing update
BGP-00031,2026-06-25T03:08:59.714471,branch-kolkata,10.2.4.2,65007,UPDATE_RECEIVED,192.168.30.0/24,4,90,LOW,Routine routing update
BGP-00032,2026-06-25T03:28:29.623119,branch-lucknow,10.4.4.2,65012,PREFIX_WITHDRAWN,192.168.6.0/24,4,90,LOW,Routine routing update
BGP-00134,2026-06-25T03:41:00,branch-lucknow,10.0.0.1,65000,UPDATE_RECEIVED,192.168.185.0/24,1,90,INFO,Normal routing update
BGP-00136,2026-06-25T04:40:00,branch-nagpur,10.0.0.1,65000,ROUTE_REFRESH,192.168.109.0/24,1,90,INFO,Normal routing update
BGP-00135,2026-06-25T04:45:00,branch-chandigarh,10.0.0.1,65000,UPDATE_RECEIVED,192.168.128.0/24,1,90,INFO,Normal routing update
BGP-00137,2026-06-25T04:48:00,branch-kolkata,10.0.0.1,65000,UPDATE_RECEIVED,192.168.93.0/24,1,90,INFO,Normal routing update
BGP-00139,2026-06-25T05:22:00,branch-ahmedabad,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.83.0/24,1,90,INFO,Normal routing update
BGP-00138,2026-06-25T05:56:00,branch-kolkata,10.0.0.1,65000,UPDATE_RECEIVED,192.168.238.0/24,1,90,INFO,Normal routing update
BGP-00035,2026-06-25T06:14:46.668952,branch-nagpur,10.2.13.1,65014,UPDATE_RECEIVED,192.168.41.0/24,3,90,LOW,Routine routing update
BGP-00141,2026-06-25T06:26:00,branch-nagpur,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.195.0/24,1,90,INFO,Normal routing update
BGP-00140,2026-06-25T06:42:00,branch-lucknow,10.0.0.1,65000,UPDATE_RECEIVED,192.168.146.0/24,1,90,INFO,Normal routing update
BGP-00034,2026-06-25T06:46:45.924939,branch-lucknow,10.10.10.1,65012,KEEPALIVE_TIMEOUT,192.168.30.0/24,1,90,LOW,Routine routing update
BGP-00036,2026-06-25T06:56:35.240373,branch-bhubaneswar,10.6.12.1,65008,PREFIX_WITHDRAWN,192.168.43.0/24,4,90,LOW,Routine routing update
BGP-00033,2026-06-25T07:01:43.234953,branch-kolkata,10.5.7.2,65007,PREFIX_ANNOUNCED,192.168.25.0/24,1,90,LOW,Routine routing update
BGP-00144,2026-06-25T07:51:00,branch-lucknow,10.0.0.1,65000,ROUTE_REFRESH,192.168.41.0/24,1,90,INFO,Normal routing update
BGP-00142,2026-06-25T07:55:00,branch-guwahati,10.0.0.1,65000,UPDATE_RECEIVED,192.168.192.0/24,1,90,INFO,Normal routing update
BGP-00143,2026-06-25T07:58:00,branch-jaipur,10.0.0.1,65000,UPDATE_RECEIVED,192.168.155.0/24,1,90,INFO,Normal routing update
BGP-00145,2026-06-25T08:03:00,branch-bengaluru,10.0.0.1,65000,UPDATE_RECEIVED,192.168.9.0/24,1,90,INFO,Normal routing update
BGP-00037,2026-06-25T09:30:00,branch-ahmedabad,10.1.5.1,65006,PEER_DOWN,10.7.4.0/30,5,90,HIGH,[FAULT] bgp_route_flap — flap #1
BGP-00038,2026-06-25T09:35:00,branch-ahmedabad,10.1.5.1,65006,PEER_UP,10.6.13.0/30,4,90,HIGH,[FAULT] bgp_route_flap — flap #2
BGP-00039,2026-06-25T09:40:00,branch-ahmedabad,10.1.5.1,65006,PEER_DOWN,10.10.8.0/30,3,90,HIGH,[FAULT] bgp_route_flap — flap #3
BGP-00040,2026-06-25T09:45:00,branch-ahmedabad,10.1.5.1,65006,PEER_UP,10.1.8.0/30,1,90,HIGH,[FAULT] bgp_route_flap — flap #4
BGP-00146,2026-06-25T09:45:00,branch-chennai,10.0.0.1,65000,ROUTE_REFRESH,192.168.21.0/24,1,90,INFO,Normal routing update
BGP-00041,2026-06-25T09:50:00,branch-ahmedabad,10.1.5.1,65006,PEER_DOWN,10.5.5.0/30,2,90,HIGH,[FAULT] bgp_route_flap — flap #5
BGP-00042,2026-06-25T09:55:00,branch-ahmedabad,10.1.5.1,65006,PEER_UP,10.2.3.0/30,4,90,HIGH,[FAULT] bgp_route_flap — flap #6
BGP-00148,2026-06-25T10:20:00,branch-jaipur,10.0.0.1,65000,UPDATE_RECEIVED,192.168.19.0/24,1,90,INFO,Normal routing update
BGP-00147,2026-06-25T10:28:00,branch-bengaluru,10.0.0.1,65000,UPDATE_RECEIVED,192.168.220.0/24,1,90,INFO,Normal routing update
BGP-00149,2026-06-25T11:00:00,branch-jaipur,10.0.0.1,65000,UPDATE_RECEIVED,192.168.152.0/24,1,90,INFO,Normal routing update
BGP-00150,2026-06-25T11:07:00,branch-jaipur,10.0.0.1,65000,UPDATE_RECEIVED,192.168.98.0/24,1,90,INFO,Normal routing update
BGP-00151,2026-06-25T12:07:00,branch-kolkata,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.179.0/24,1,90,INFO,Normal routing update
BGP-00152,2026-06-25T12:43:00,branch-chennai,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.100.0/24,1,90,INFO,Normal routing update
BGP-00043,2026-06-25T13:16:56.759295,branch-guwahati,10.6.1.2,65009,UPDATE_RECEIVED,192.168.49.0/24,4,90,LOW,Routine routing update
BGP-00153,2026-06-25T13:30:00,branch-kochi,10.0.0.1,65000,UPDATE_RECEIVED,192.168.222.0/24,1,90,INFO,Normal routing update
BGP-00154,2026-06-25T13:31:00,branch-lucknow,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.242.0/24,1,90,INFO,Normal routing update
BGP-00157,2026-06-25T14:26:00,branch-kolkata,10.0.0.1,65000,ROUTE_REFRESH,192.168.10.0/24,1,90,INFO,Normal routing update
BGP-00156,2026-06-25T14:34:00,branch-chandigarh,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.243.0/24,1,90,INFO,Normal routing update
BGP-00155,2026-06-25T14:43:00,branch-pune,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.15.0/24,1,90,INFO,Normal routing update
BGP-00044,2026-06-25T14:54:46.270255,branch-guwahati,10.3.0.1,65009,PREFIX_ANNOUNCED,192.168.49.0/24,4,90,LOW,Routine routing update
BGP-00159,2026-06-25T16:32:00,branch-kochi,10.0.0.1,65000,UPDATE_RECEIVED,192.168.74.0/24,1,90,INFO,Normal routing update
BGP-00160,2026-06-25T16:33:00,branch-chandigarh,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.252.0/24,1,90,INFO,Normal routing update
BGP-00045,2026-06-25T16:37:08.813588,branch-nagpur,10.7.4.2,65014,UPDATE_RECEIVED,192.168.12.0/24,1,90,LOW,Routine routing update
BGP-00158,2026-06-25T16:54:00,branch-hyderabad,10.0.0.1,65000,ROUTE_REFRESH,192.168.31.0/24,1,90,INFO,Normal routing update
BGP-00161,2026-06-25T17:01:00,branch-kochi,10.0.0.1,65000,UPDATE_RECEIVED,192.168.189.0/24,1,90,INFO,Normal routing update
BGP-00046,2026-06-25T17:15:55.583718,branch-chandigarh,10.0.10.2,65010,PREFIX_WITHDRAWN,192.168.10.0/24,3,90,LOW,Routine routing update
BGP-00162,2026-06-25T18:51:00,branch-nagpur,10.0.0.1,65000,ROUTE_REFRESH,192.168.71.0/24,1,90,INFO,Normal routing update
BGP-00047,2026-06-25T19:00:00,dc-mumbai,10.0.0.2,65001,PEER_DOWN,10.1.4.0/30,3,30,CRITICAL,[FAULT] route_flap_cascade — flap #1
BGP-00048,2026-06-25T19:08:49.411765,dc-mumbai,10.0.0.2,65001,PEER_UP,10.9.14.0/30,9,30,CRITICAL,[FAULT] route_flap_cascade — flap #2
BGP-00049,2026-06-25T19:17:38.823529,dc-mumbai,10.0.0.2,65001,PEER_DOWN,10.8.7.0/30,11,30,CRITICAL,[FAULT] route_flap_cascade — flap #3
BGP-00050,2026-06-25T19:26:28.235294,dc-mumbai,10.0.0.2,65001,PEER_UP,10.1.14.0/30,4,30,CRITICAL,[FAULT] route_flap_cascade — flap #4
BGP-00163,2026-06-25T19:30:00,branch-chennai,10.0.0.1,65000,ROUTE_REFRESH,192.168.68.0/24,1,90,INFO,Normal routing update
BGP-00051,2026-06-25T19:35:17.647059,dc-mumbai,10.0.0.2,65001,PEER_DOWN,10.8.1.0/30,4,30,CRITICAL,[FAULT] route_flap_cascade — flap #5
BGP-00052,2026-06-25T19:44:07.058824,dc-mumbai,10.0.0.2,65001,PEER_UP,10.3.1.0/30,4,30,CRITICAL,[FAULT] route_flap_cascade — flap #6
BGP-00065,2026-06-25T19:48:37.801904,branch-chennai,10.0.0.1,65000,PREFIX_WITHDRAWN,10.10.12.0/30,7,90,HIGH,[CASCADE] Downstream withdrawal from hub-delhi route flap cascade
BGP-00164,2026-06-25T19:52:00,branch-ahmedabad,10.0.0.1,65000,ROUTE_REFRESH,192.168.40.0/24,1,90,INFO,Normal routing update
BGP-00053,2026-06-25T19:52:56.470588,dc-mumbai,10.0.0.2,65001,PEER_DOWN,10.10.4.0/30,4,30,CRITICAL,[FAULT] route_flap_cascade — flap #7
BGP-00067,2026-06-25T19:54:02.605322,branch-pune,10.0.0.1,65000,PREFIX_WITHDRAWN,10.10.1.0/30,5,90,HIGH,[CASCADE] Downstream withdrawal from hub-delhi route flap cascade
BGP-00066,2026-06-25T19:58:39.647067,branch-hyderabad,10.0.0.1,65000,PREFIX_WITHDRAWN,10.10.1.0/30,4,90,HIGH,[CASCADE] Downstream withdrawal from hub-delhi route flap cascade
BGP-00054,2026-06-25T20:01:45.882353,dc-mumbai,10.0.0.2,65001,PEER_UP,10.3.4.0/30,8,30,CRITICAL,[FAULT] route_flap_cascade — flap #8
BGP-00055,2026-06-25T20:10:35.294118,dc-mumbai,10.0.0.2,65001,PEER_DOWN,10.7.12.0/30,11,30,CRITICAL,[FAULT] route_flap_cascade — flap #9
BGP-00064,2026-06-25T20:14:56.394323,branch-bengaluru,10.0.0.1,65000,PREFIX_WITHDRAWN,10.10.2.0/30,6,90,HIGH,[CASCADE] Downstream withdrawal from hub-delhi route flap cascade
BGP-00166,2026-06-25T20:15:00,branch-bhopal,10.0.0.1,65000,UPDATE_RECEIVED,192.168.236.0/24,1,90,INFO,Normal routing update
BGP-00056,2026-06-25T20:19:24.705882,dc-mumbai,10.0.0.2,65001,PEER_UP,10.9.5.0/30,7,30,CRITICAL,[FAULT] route_flap_cascade — flap #10
BGP-00057,2026-06-25T20:28:14.117647,dc-mumbai,10.0.0.2,65001,PEER_DOWN,10.8.0.0/30,11,30,CRITICAL,[FAULT] route_flap_cascade — flap #11
BGP-00058,2026-06-25T20:37:03.529412,dc-mumbai,10.0.0.2,65001,PEER_UP,10.10.2.0/30,6,30,CRITICAL,[FAULT] route_flap_cascade — flap #12
BGP-00059,2026-06-25T20:45:52.941176,dc-mumbai,10.0.0.2,65001,PEER_DOWN,10.7.12.0/30,8,30,CRITICAL,[FAULT] route_flap_cascade — flap #13
BGP-00165,2026-06-25T20:51:00,branch-kochi,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.170.0/24,1,90,INFO,Normal routing update
BGP-00060,2026-06-25T20:54:42.352941,dc-mumbai,10.0.0.2,65001,PEER_UP,10.9.0.0/30,11,30,CRITICAL,[FAULT] route_flap_cascade — flap #14
BGP-00061,2026-06-25T21:03:31.764706,dc-mumbai,10.0.0.2,65001,PEER_DOWN,10.10.12.0/30,3,30,CRITICAL,[FAULT] route_flap_cascade — flap #15
BGP-00062,2026-06-25T21:12:21.176471,dc-mumbai,10.0.0.2,65001,PEER_UP,10.4.4.0/30,7,30,CRITICAL,[FAULT] route_flap_cascade — flap #16
BGP-00063,2026-06-25T21:21:10.588235,dc-mumbai,10.0.0.2,65001,PEER_DOWN,10.4.2.0/30,5,30,CRITICAL,[FAULT] route_flap_cascade — flap #17
BGP-00068,2026-06-25T23:26:37.470201,branch-pune,10.10.9.1,65005,UPDATE_RECEIVED,192.168.29.0/24,1,90,LOW,Routine routing update
BGP-00069,2026-06-25T23:36:45.975020,branch-chandigarh,10.6.3.2,65010,PREFIX_WITHDRAWN,192.168.10.0/24,4,90,LOW,Routine routing update
BGP-00070,2026-06-25T23:37:41.639098,branch-chandigarh,10.1.14.2,65010,PREFIX_ANNOUNCED,192.168.43.0/24,2,90,LOW,Routine routing update
BGP-00168,2026-06-25T23:44:00,branch-bengaluru,10.0.0.1,65000,ROUTE_REFRESH,192.168.226.0/24,1,90,INFO,Normal routing update
BGP-00169,2026-06-25T23:47:00,branch-bhopal,10.0.0.1,65000,UPDATE_RECEIVED,192.168.254.0/24,1,90,INFO,Normal routing update
BGP-00167,2026-06-25T23:58:00,branch-bhopal,10.0.0.1,65000,UPDATE_RECEIVED,192.168.249.0/24,1,90,INFO,Normal routing update
BGP-00170,2026-06-26T00:36:00,branch-bhopal,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.18.0/24,1,90,INFO,Normal routing update
BGP-00171,2026-06-26T01:33:00,branch-guwahati,10.0.0.1,65000,UPDATE_RECEIVED,192.168.14.0/24,1,90,INFO,Normal routing update
BGP-00172,2026-06-26T01:34:00,branch-ahmedabad,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.105.0/24,1,90,INFO,Normal routing update
BGP-00173,2026-06-26T01:44:00,branch-kolkata,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.169.0/24,1,90,INFO,Normal routing update
BGP-00174,2026-06-26T02:23:00,branch-pune,10.0.0.1,65000,ROUTE_REFRESH,192.168.171.0/24,1,90,INFO,Normal routing update
BGP-00072,2026-06-26T03:12:06.653212,branch-chennai,10.6.11.2,65003,PREFIX_ANNOUNCED,192.168.44.0/24,4,90,LOW,Routine routing update
BGP-00073,2026-06-26T03:21:57.133562,branch-bhubaneswar,10.6.5.1,65008,PREFIX_WITHDRAWN,192.168.30.0/24,1,90,LOW,Routine routing update
BGP-00071,2026-06-26T03:49:30.564250,branch-bhopal,10.6.14.2,65015,PREFIX_ANNOUNCED,192.168.37.0/24,1,90,LOW,Routine routing update
BGP-00176,2026-06-26T05:13:00,branch-ahmedabad,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.119.0/24,1,90,INFO,Normal routing update
BGP-00175,2026-06-26T05:40:00,branch-bhopal,10.0.0.1,65000,UPDATE_RECEIVED,192.168.199.0/24,1,90,INFO,Normal routing update
BGP-00074,2026-06-26T06:00:00,branch-pune,10.1.4.1,65005,PEER_DOWN,10.5.5.0/30,3,90,HIGH,[FAULT] ospf_adjacency_lost — flap #1
BGP-00075,2026-06-26T06:15:00,branch-pune,10.1.4.1,65005,PEER_UP,10.1.0.0/30,4,90,HIGH,[FAULT] ospf_adjacency_lost — flap #2
BGP-00177,2026-06-26T06:23:00,branch-ahmedabad,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.179.0/24,1,90,INFO,Normal routing update
BGP-00178,2026-06-26T07:00:00,branch-chandigarh,10.0.0.1,65000,UPDATE_RECEIVED,192.168.70.0/24,1,90,INFO,Normal routing update
BGP-00179,2026-06-26T07:06:00,branch-kolkata,10.0.0.1,65000,PREFIX_ANNOUNCED,192.168.196.0/24,1,90,INFO,Normal routing update
BGP-00180,2026-06-26T09:07:00,branch-chandigarh,10.0.0.1,65000,ROUTE_REFRESH,192.168.131.0/24,1,90,INFO,Normal routing update
BGP-00077,2026-06-26T10:34:47.837621,branch-guwahati,10.0.0.2,65009,PREFIX_ANNOUNCED,192.168.24.0/24,2,90,LOW,Routine routing update
BGP-00076,2026-06-26T10:35:00.503208,branch-chennai,10.6.7.2,65003,PREFIX_ANNOUNCED,192.168.42.0/24,2,90,LOW,Routine routing update
BGP-00078,2026-06-26T10:59:42.630217,branch-ahmedabad,10.1.9.1,65006,KEEPALIVE_TIMEOUT,192.168.28.0/24,1,90,LOW,Routine routing update
BGP-00181,2026-06-26T11:10:00,branch-bengaluru,10.0.0.1,65000,UPDATE_RECEIVED,192.168.133.0/24,1,90,INFO,Normal routing update
